Damon Wayans,Orlando Brown,Michael Ironside,major payne
Edward Furlong,Tim Roth,Moira Kelly,little odessa
Angel Aviles,Seidy López,Jacob Vargas,mi vida loca
Jessica Lange,Halle Berry,David Strathairn,losing isaiah
Nigel Hawthorne,Helen Mirren,Ian Holm,the madness of king george
Robert De Niro,Kenneth Branagh,Tom Hulce,mary shelley's frankenstein
Steve Martin,Madeline Kahn,Robert Klein,mixed nuts
Melanie Griffith,Ed Harris,Michael Patrick Carter,milk money
Sarah Jessica Parker,Antonio Banderas,Mia Farrow,miami rhapsody
Edward James Olmos,Jimmy Smits,Esai Morales,my family
Christian Slater,Kevin Bacon,Gary Oldman,murder in the first
Jodie Foster,Liam Neeson,Natasha Richardson,nell
Sharron Corley,Donald Faison,Christine Baranski,new jersey drive
Toru Nakamura,Chad McQueen,Mira Sorvino,new york cop
Elizabeth Hurley,Craig Fairbrass,Keith Allen,beyond bedlam
Sue Price,Chad Stahelski,Tina Cote,nemesis 2 - nebula
Laura San Giacomo,Michael O'Keefe,Paul Rhys,nina takes a lover
Woody Harrelson,Juliette Lewis,Robert Downey Jr.,natural born killers
Marisa Tomei,Robert Downey Jr.,Bonnie Hunt,only you
Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,once were warriors
Alyssa Milano,Johnathon Schaech,Xander Berkeley,poison ivy ii: lily
Dustin Hoffman,Rene Russo,Morgan Freeman,outbreak
Jean Reno,Natalie Portman,Gary Oldman,leon: the professional
Marisa Tomei,Alfred Molina,Anjelica Huston,the perez family
William Baldwin,John Leguizamo,Эрика Элениак,a pyromaniac's love story
John Travolta,Samuel L. Jackson,Uma Thurman,pulp fiction
Kadeem Hardison,Bokeem Woodbine,Courtney B. Vance,panther
Sihung Lung,Wang Lai,Bo Z. Wang,pushing hands
John Turturro,Rob Morrow,Ralph Fiennes,quiz show
Youki Kudoh,Akira Takayama,Tamlyn Tomita,picture bride
Isabelle Adjani,Daniel Auteuil,Jean-Hugues Anglade,queen margot
Peter Falk,D. B. Sweeney,Julianne Moore,roommates
